"NOTE","OK","ERROR","package"
2,10,NA,"adegenet"
NA,12,NA,"AMR"
NA,12,NA,"apisensr"
NA,12,NA,"argo"
5,7,NA,"Bernadette"
NA,12,NA,"bets.covid19"
NA,12,NA,"bkmr"
NA,12,NA,"cfr"
7,5,NA,"cholera"
2,11,NA,"cmprsk"
NA,12,NA,"coarseDataTools"
NA,12,NA,"contactdata"
NA,12,NA,"corona"
2,10,NA,"coronavirus"
NA,12,NA,"COVID19"
7,5,NA,"covid19.analytics"
2,10,NA,"covid19br"
NA,12,NA,"covid19dbcand"
12,NA,NA,"covid19france"
NA,12,NA,"covid19italy"
2,10,NA,"covid19sf"
NA,12,NA,"covid19swiss"
NA,12,NA,"covid19us"
NA,12,NA,"CovidMutations"
NA,13,NA,"dbparser"
NA,12,NA,"dde"
NA,12,NA,"deSolve"
7,5,NA,"DSAIDE"
12,NA,NA,"earlyR"
NA,12,NA,"endtoend"
12,NA,NA,"EnvStats"
NA,13,NA,"Epi"
NA,12,NA,"epibasix"
NA,13,NA,"epicontacts"
NA,12,NA,"EpiContactTrace"
2,10,NA,"EpiCurve"
12,NA,NA,"epiDisplay"
9,3,NA,"EpiEstim"
NA,12,NA,"epiflows"
1,11,NA,"EpiILM"
1,11,NA,"EpiILMCT"
1,11,NA,"epimdr"
1,11,NA,"EpiModel"
NA,12,NA,"epinet"
12,NA,1,"EpiNow2"
NA,13,NA,"epiR"
9,3,NA,"EpiReport"
NA,12,NA,"episensr"
NA,12,NA,"EpiSignalDetection"
9,3,NA,"epitools"
NA,12,NA,"epitrix"
9,3,NA,"epitweetr"
NA,12,NA,"etm"
4,9,NA,"finalsize"
9,4,NA,"HIMA"
NA,12,NA,"i2extras"
NA,13,NA,"incidence"
NA,13,NA,"incidence2"
NA,13,NA,"linelist"
NA,12,NA,"malariaAtlas"
NA,12,NA,"mediation"
9,3,NA,"mem"
NA,12,NA,"memapp"
NA,12,NA,"mma"
9,3,NA,"modelSSE"
NA,12,NA,"mstate"
NA,12,NA,"NADA"
NA,13,NA,"nbTransmission"
NA,13,NA,"nhanesA"
NA,13,NA,"nosoi"
NA,9,4,"o2geosocial"
NA,12,NA,"odin"
12,NA,NA,"outbreaker2"
NA,12,NA,"outbreaks"
NA,13,NA,"pomp"
NA,13,NA,"popEpi"
NA,12,NA,"powerSurvEpi"
9,3,NA,"R0"
NA,12,NA,"riskCommunicator"
2,10,NA,"RSurveillance"
4,9,NA,"SimInf"
NA,13,NA,"socialmixr"
NA,12,NA,"SpatialEpi"
12,1,NA,"surveillance"
12,NA,NA,"TransPhylo"
NA,12,NA,"trendeval"
1,11,NA,"trending"
NA,12,NA,"tsiR"
