"NOTE","OK","ERROR","package"
2,9,NA,"adegenet"
NA,11,NA,"AMR"
NA,11,NA,"apisensr"
NA,11,NA,"argo"
4,7,NA,"Bernadette"
NA,11,NA,"bets.covid19"
NA,11,NA,"bkmr"
NA,11,NA,"cfr"
7,4,NA,"cholera"
1,11,NA,"cmprsk"
NA,11,NA,"coarseDataTools"
NA,11,NA,"contactdata"
NA,11,NA,"corona"
1,10,NA,"coronavirus"
NA,11,NA,"COVID19"
7,4,NA,"covid19.analytics"
1,10,NA,"covid19br"
NA,11,NA,"covid19dbcand"
11,NA,NA,"covid19france"
NA,11,NA,"covid19italy"
1,10,NA,"covid19sf"
NA,11,NA,"covid19swiss"
NA,11,NA,"covid19us"
NA,11,NA,"CovidMutations"
NA,13,NA,"dbparser"
NA,12,NA,"dde"
NA,12,NA,"deSolve"
7,4,NA,"DSAIDE"
12,NA,NA,"earlyR"
NA,12,NA,"endtoend"
11,NA,NA,"EnvStats"
NA,12,NA,"Epi"
NA,12,NA,"epibasix"
NA,13,NA,"epicontacts"
NA,11,NA,"EpiContactTrace"
1,10,NA,"EpiCurve"
12,NA,NA,"epiDisplay"
8,3,NA,"EpiEstim"
NA,12,NA,"epiflows"
1,10,NA,"EpiILM"
1,10,NA,"EpiILMCT"
1,11,NA,"epimdr"
1,10,NA,"EpiModel"
NA,12,NA,"epinet"
11,NA,1,"EpiNow2"
NA,13,NA,"epiR"
8,3,NA,"EpiReport"
NA,12,NA,"episensr"
NA,11,NA,"EpiSignalDetection"
9,3,NA,"epitools"
NA,12,NA,"epitrix"
9,3,NA,"epitweetr"
NA,12,NA,"etm"
4,9,NA,"finalsize"
7,3,2,"HIMA"
NA,12,NA,"i2extras"
NA,13,NA,"incidence"
NA,13,NA,"incidence2"
NA,13,NA,"linelist"
NA,12,NA,"malariaAtlas"
NA,12,NA,"mediation"
9,3,NA,"mem"
NA,12,NA,"memapp"
NA,12,NA,"mma"
9,3,NA,"modelSSE"
NA,12,NA,"mstate"
NA,11,NA,"NADA"
NA,13,NA,"nbTransmission"
NA,13,NA,"nhanesA"
NA,13,NA,"nosoi"
NA,11,2,"o2geosocial"
NA,12,NA,"odin"
12,NA,NA,"outbreaker2"
NA,12,NA,"outbreaks"
NA,13,NA,"pomp"
NA,13,NA,"popEpi"
NA,12,NA,"powerSurvEpi"
8,3,NA,"R0"
NA,12,NA,"riskCommunicator"
1,10,NA,"RSurveillance"
4,8,NA,"SimInf"
NA,13,NA,"socialmixr"
NA,11,NA,"SpatialEpi"
12,1,NA,"surveillance"
11,NA,NA,"TransPhylo"
NA,12,NA,"trendeval"
1,11,NA,"trending"
NA,12,NA,"tsiR"
